full_text,predicted_insurance_labels,true_labels
Texas Industrial Specialties Inc company base Deer Park Texas United States operate field tool rental service industrial equipment supply pneumatic tool supply tool repair testing equipment industrial equipment supplier hydrostatic pumps manufacturer pressure gauges rental chain hoist certification pneumatic tools manufacturer industrial supplies tool and equipment rental services industry tool rentals quick turnaround repair service mill supplies safety supplies provider tool repair services manufacturing pumps  hydraulics manufacturing measuring dispensing and other pumping equipment manufacturing,['testing and inspection services'],"['industrial machinery installation', 'project management services']"
company business analyst English translator background apply economic strong interest long term perspective lead completion master course global economic history phd economic history international economic history economic analysis applied economist longterm perspective anthropometric history historical demography research loss of human capital services research institutes research and development in the physical engineering and life sciences except nanotechnology and biotechnology,['human resources services'],"['market research services', 'data analysis services', 'consulting services']"
company specialize production nonwoven fabric include melt blow nonwove fabric 3d respirator moulding presur respirator fold respirator offer range non woven product operation gown protection suit round hat shoe cover respiratory masks manufacturer surgical gowns manufacturer nonferrous products manufacturer hats manufacturer manufacturing shoe covers manufacturer folding respirator manufacturer protective suits manufacturer mask and nonwove production manufacturing fabricbased home goods nonwoven fabric mills,['textile manufacturing services'],['textile manufacturing services']
Mes Teknik industrial kitchen service company provide repair maintenance replacement part service 20 year specialize repair maintain industrial kitchen product refrigeration air conditioning related equipment service include replacement part warranty replacement maintenance repair climate control Mes Teknik provide site service customer require assistance kitchen equipment industry solutions industrial kitchen equipment maintenance and repair air conditioning and refrigeration services management consulting services industrial consulting services spare parts guarantee maintenance services services appliance repair  maintenance commercial and industrial machinery and equipment except automotive and electronic repair and maintenance,"['food processing services', 'consulting services', 'industrial machinery installation']","['hvac installation and service', 'project management services']"
Uparta Capital Moscow base investment firm found Alexander Urabi Elena Kurochina company involve marketing large scale people event investment opportunity business directory listings business listings platform business listings on russianspeaking mosques services debt collection agencies collection agencies,"['rendering services', 'event planning services']","['marketing services', 'financial services', 'consulting services']"
Jiangsu Jiyang Automotive Parts Manufacture Co Ltd professional manufacturer specialize research development production sale automotive drivetrain hydraulic transfer system automotive electric vacuum pump company offer range product include hydraulic pump hydraulic cylinder hydraulic lock automotive industry subsidiary Huanghui Group know expertise automotive accessory automotive part manufacturing research and development hydraulics and pneumatics vacuum pumps manufacturer hydraulic pumps automotive parts manufacturing auto parts manufacturers motor vehicle transmission and power train parts manufacturing,['accessory manufacturing'],"['industrial machinery installation', 'accessory manufacturing']"
sail Shoestring company specialize story photography relate sailing Canada west coast company run Liam sailor adventurer photographer  services boat tours  cruises deep sea passenger transportation,"['rendering services', 'travel services', 'seo services']","['travel services', 'content creation services']"
New Green Food Processing Supply Co Ltd lead company long tradition field school boarding specialize supply food boarding meal preschool Nam Định Province province company understand importance provide nutritious safe food student good health learning physical intellectual development work closely school directorate provide high quality product service meet increasingly stringent requirement Vsattp Vehicle Safety Test Test New Green impact include invest kitchen infrastructure accord closed loop way standard equip student tool utensil purchase product liability insurance factory supply vegetable fruit clean egg Vsatttp meat school company commit meet need customer  manufacturing fruit  vegetable  markets  stores specialty canning,"['food processing services', 'canning services', 'food safety services']","['food processing services', 'canning services']"
Gaiapack Srl company base Republic San Marino specialize flexible packaging processing plastic material PVC TNT PP PPL PE PET offer cut plastic reel food non food product include bakery product confectionery dry pasta coffee company important operational structure specific equipment modern mean transportation equip high technical instrument resource staff 25 specialized unit Gaiapak prioritize hygiene food safety product certify plant accord scheme plastic reels for food unlaminated plastics film and sheet manufacturing plastic fabrication hygiene bags food packaging manufacturer sheet manufacturing f certified process plants design lines on envelopes flexible packaging solutions manufacturing packing  crating plastics bottle manufacturing,"['plastic manufacturing', 'food processing services', 'food safety services']",['plastic manufacturing']
LIU LAW PLLC law firm found Jin H Liu corporate attorney extensive experience corporate matter merger acquisition joint venture partnership structure corporate governance compliance matter operating agreement shareholder agreement employment contract finance document licensing agreement marketing agreement day day operational matter firm offer real estate center legal service include commercial residential real estate transaction leasing daytoday operational matters drafting employment contracts business structures and joint ventures operating agreements mergers and acquisition corning marketing agreements preparation shareholder agreement drafting financing document negotiation commercial and leasing real estate and legal services corporate governance  compliance services title abstract  settlement offices title abstract and settlement offices,"['real estate services', 'legal services', 'compliance services']","['legal services', 'consulting services']"
